:doi,:title,:description,:subtype,:coverDate,:publicationName,:authkeywords,:eid,:pii,:pubmed_id,:subtypeDescription,:creator,:afid,:affilname,:affiliation_city,:affiliation_country,:author_count,:author_names,:author_ids,:author_afids,:coverDisplayDate,:issn,:source_id,:eIssn,:aggregationType,:volume,:issueIdentifier,:article_number,:pageRange,:openaccess,:fund_acr,:fund_no,:fund_sponsor,:citedby_count,:YEAR,:URL
10.1007/s42330-022-00210-9,Analyse du processus de construction de connaissances dans des activités de programmation à l’école,"The introduction of programming activities in the classroom has given rise to a variety of teaching methods. Some methods focus on learning to code while others take a creative programming approach (Resnick & Rusk, 2020). This study looks at creative programming as an opportunity for students to develop their reasoning skills. Drawing from both mathematics teaching and creative programming practices, we identify the elements of informatics thinking and use them to analyze the behaviour of students during a programming task in educational robotics. We also apply certain conceptual tools from both the field of mathematics teaching and the framework of informatics thinking in the course of our study. Creative programming practices provide six factors for analyzing how the students approached situational problems, framed the problems, learned the code, and developed the programs. From a didactics perspective, we use the components of DeBlois’ model (2001, 2003) for interpreting cognitive activities to analyze elements in the knowledge-building process. Our article ends with a comparison of the benefits of each analytical framework, which could have implications for teacher training on programming in the classroom.",ar,2022-06-01,"Canadian Journal of Science, Mathematics and Technology Education",,2-s2.0-85133615620,,,Article,Romero M.,60276948;60032619,Laboratoire d’Innovation et Numérique pour l’Éducation;Université Laval,Nice;Quebec,France;Canada,2,"Romero, Margarida;DeBlois, Lucie",36698221700;14621513500,60276948;60032619,June 2022,14926156,19700190347,19424051,Journal,22,2,,405-421,1,ANR,ANR-18-CE38-0001,Agence Nationale de la Recherche,2,2022,https://doi.org/10.1007/s42330-022-00210-9
10.1134/S0005117922060054,Simultaneous Learning and Planning in a Hierarchical Control System for a Cognitive Agent,"Abstract: The tasks of behavior planning and decision-making learning in a dynamic environmentare usually divided and considered separately in control systems for intelligent agents. A newunified hierarchical formulation of the problem of simultaneous learning and planning (SLAP) isproposed in the context of object-oriented reinforcement learning, and an architecture of acognitive agent that solves this problem is described. A new algorithm for learning actions in apartially observed external environment is proposed using a reward signal, an object-orientedsubject description of the states of the external environment, and dynamically updated actionplans. The main properties and advantages of the proposed algorithm are considered, includingthe lack of a fixed cognitive cycle necessitating the separation of planning and learning subsystemsin earlier algorithms and the ability to construct and update the model of interaction with theenvironment, thus increasing the learning efficiency. A theoretical justification of some provisionsof this approach is given, a model example is proposed, and the principle of operation of a SLAPagent when driving an unmanned vehicle is demonstrated.",ar,2022-06-01,Automation and Remote Control,behavior planning | cognitive agent | control system | hierarchical planning | mobile robot | reinforcement learning | unmanned vehicle,2-s2.0-85133416795,,,Article,Panov A.I.,60110807;60000308,Federal Research Center Informatics and Management of the Russian Academy of Sciences;Moscow Institute of Physics and Technology,Moscow;Dolgoprudny,Russian Federation;Russian Federation,1,"Panov, A. I.",56504794900,60110807-60000308,June 2022,00051179,24950,16083032,Journal,83,6,,869-883,0,РФФИ,18-29-22027,Russian Foundation for Basic Research,3,2022,https://doi.org/10.1134/S0005117922060054
10.1109/TAI.2021.3119890,Robot Path Planning via Neural-Network-Driven Prediction,"This article presents a novel heuristic method named neural-network-driven prediction (NEED) for robot path planning problems. Different from classical heuristic methods, NEED is not designed for some specific environments, which can be applied to various environments. NEED has an encoder-decoder structure, which consists of three modules: convolutional neural network backbone, spatial pooling module, and decoder module. By learning from a number of successful path planning cases, NEED can learn to analyze the environment structure and predict the promising search region for the new path planning problem. This predicted region serves as a heuristic to guide the search direction of path planning algorithms. A series of simulation experiments are conducted to demonstrate that NEED significantly improves the algorithm performance on solving new path planning problems. Meanwhile, NEED can also be applied to highly dynamic environments since it can output the prediction results at a speed of over 100 Hz on a laptop.",ar,2022-06-01,IEEE Transactions on Artificial Intelligence,Artificial intelligence in robotics | Intelligent robots | Intelligent systems | Neural networks | Planning,2-s2.0-85132963599,,,Article,Wang J.,60108865;60105683;60010432;60002798,"The Chinese University of Hong Kong, Shenzhen;Southern University of Science and Technology;Soochow University;Chinese University of Hong Kong",Shenzhen;Shenzhen;Suzhou;Hong Kong,China;China;China;Hong Kong,5,"Wang, Jiankun;Liu, Jianbang;Chen, Weinan;Chi, Wenzheng;Meng, Max Q.H.",57200020647;57214762710;56822663400;55657856900;7102739136,60105683;60002798;60105683;60010432;60105683-60108865-60002798,1 June 2022,,21101093601,26914581,Journal,3,3,,451-460,0,,undefined,,3,2022,https://doi.org/10.1109/TAI.2021.3119890
10.3390/rs14122945,Positioning of Quadruped Robot Based on Tightly Coupled LiDAR Vision Inertial Odometer,"Quadruped robots, an important class of unmanned aerial vehicles, have broad potential for applications in education, service, industry, military, and other fields. Their independent positioning plays a key role for completing assigned tasks in a complex environment. However, positioning based on global navigation satellite systems (GNSS) may result in GNSS jamming and quadruped robots not operating properly in environments sheltered by buildings. In this paper, a tightly coupled LiDAR vision inertial odometer (LVIO) is proposed to address the positioning inaccuracy of quadruped robots, which have poor mileage information obtained though legs and feet structures only. With this optimization method, the point cloud data obtained by 3D LiDAR, the image feature information obtained by binocular vision, and the IMU inertial data are combined to improve the precise indoor and outdoor positioning of a quadruped robot. This method reduces the errors caused by the uniform motion model in laser odometer as well as the image blur caused by rapid movements of the robot, which can lead to error-matching in a dynamic scene; at the same time, it alleviates the impact of drift on inertial measurements. Finally, the quadruped robot in the laboratory is used to build a physical platform for verification. The experimental results show that the designed LVIO effectively realizes the positioning of four groups of robots with high precision and strong robustness, both indoors or outdoors, which verify the feasibility and effectiveness of the proposed method.",ar,2022-06-01,Remote Sensing,lidar visual inertial odometer | positioning of quadruped robot | tightly coupled nonlinear optimization,2-s2.0-85132921409,,,Article,Gao F.,60106849,Nanjing Institute of Technology,Nanjing,China,4,"Gao, Fangzheng;Tang, Wenjun;Huang, Jiacai;Chen, Haiyang",35179333200;57765169500;13607631000;55994195100,60106849;60106849;60106849;60106849,June-2 2022,,86430,20724292,Journal,14,12,2945,,1,NSFC,20KJA510007,National Natural Science Foundation of China,1,2022,https://doi.org/10.3390/rs14122945
10.1126/scirobotics.abl6259,Agilicious: Open-source and open-hardware agile quadrotor for vision-based flight,"Autonomous, agile quadrotor flight raises fundamental challenges for robotics research in terms of perception, planning, learning, and control. A versatile and standardized platform is needed to accelerate research and let practitioners focus on the core problems. To this end, we present Agilicious, a codesigned hardware and software framework tailored to autonomous, agile quadrotor flight. It is completely open source and open hardware and supports both model-based and neural network-based controllers. Also, it provides high thrust-to-weight and torque-to-inertia ratios for agility, onboard vision sensors, graphics processing unit (GPU)-accelerated compute hardware for real-time perception and neural network inference, a real-time flight controller, and a versatile software stack. In contrast to existing frameworks, Agilicious offers a unique combination of flexible software stack and high-performance hardware. We compare Agilicious with prior works and demonstrate it on different agile tasks, using both model-based and neural network-based controllers. Our demonstrators include trajectory tracking at up to 5g and 70 kilometers per hour in a motion capture system, and vision-based acrobatic flight and obstacle avoidance in both structured and unstructured environments using solely onboard perception. Last, we demonstrate its use for hardware-in-the-loop simulation in virtual reality environments. Because of its versatility, we believe that Agilicious supports the next generation of scientific and industrial quadrotor research.",ar,2022-06-01,Science Robotics,,2-s2.0-85132622774,,35731886,Article,Foehn P.,60012614,Universität Zürich,Zurich,Switzerland,11,"Foehn, Philipp;Kaufmann, Elia;Romero, Angel;Penicka, Robert;Sun, Sihao;Bauersfeld, Leonard;Laengle, Thomas;Cioffi, Giovanni;Song, Yunlong;Loquercio, Antonio;Scaramuzza, Davide",57202579973;57200625254;57226759044;57191846693;57207836824;57208834839;58508654200;57219521808;57221161101;57195424419;16550950000,60012614;60012614;60012614;60012614;60012614;60012614;60012614;;60012614;;,1 June 2022,,21100886132,24709476,Journal,7,67,eabl6259,,0,ERC,864042,European Research Council,17,2022,https://doi.org/10.1126/scirobotics.abl6259
10.3390/su14116625,Innovation of Teaching Tools during Robot Programming Learning to Promote Middle School Students’ Critical Thinking,"In the digital age, robotics education has gained much attention for cultivating learners’ design thinking, creative thinking, critical thinking, and cooperative abilities. In particular, critical thinking as one of the key competencies in Education for Sustainable Development (ESD) can stimulate imagination and creation. It is of great value to explore critical thinking cultivation in robot programming learning. Therefore, this study applied different teaching tools to take the content of “making a manipulator through programming and construction” in a robotics course as an experimental context to examine the promotion of learners’ critical thinking. Before the experiment, a pre-test was conducted to measure students’ critical thinking ability. Then, all students were divided randomly into two groups: one as an experimental group with the teaching tool of Construction–Criticism–Migration (CCM) instructional design, and the other as a control group with the traditional teaching tool of demonstrate–practice instructional design. After a 6-week experiment, the measurement of critical thinking was applied as a post-test. SPSS was used to conduct an independent sample t test and one-way ANOVA to explore whether students’ critical thinking ability had improved and whether differences were found between the experimental group and the control group after the 6-week experiment. The results showed that the experimental group students’ critical thinking ability significantly improved, whereas no significant difference was found before and after the experiment for the control group. A significant difference existed between the two groups. This study provides an example of a new instructional design teaching tool for the teaching of robot programming and can provide valuable suggestions for instructors in middle schools.",ar,2022-06-01,Sustainability (Switzerland),construction-criticism-migration | critical thinking | instructional design | robot programming learning | teaching tools,2-s2.0-85131541094,,,Article,Liu H.,60020258;60009559;113170387,Nanjing Normal University;Anhui Normal University;Anhui Business College,Nanjing;Wuhu;Wuhu,China;China;China,3,"Liu, Hehai;Sheng, Jie;Zhao, Li",57204502663;57731413400;57209248394,60009559;113170387;60020258,June-1 2022,,21100240100,20711050,Journal,14,11,6625,,1,,2021JSJG028,,1,2022,https://doi.org/10.3390/su14116625
10.3390/s22124316,The Intelligent Path Planning System of Agricultural Robot via Reinforcement Learning,"Agricultural robots are one of the important means to promote agricultural modernization and improve agricultural efficiency. With the development of artificial intelligence technology and the maturity of Internet of Things (IoT) technology, people put forward higher requirements for the intelligence of robots. Agricultural robots must have intelligent control functions in agricultural scenarios and be able to autonomously decide paths to complete agricultural tasks. In response to this requirement, this paper proposes a Residual-like Soft Actor Critic (R-SAC) algorithm for agricultural scenarios to realize safe obstacle avoidance and intelligent path planning of robots. In addition, in order to alleviate the time-consuming problem of exploration process of reinforcement learning, this paper proposes an offline expert experience pre-training method, which improves the training efficiency of reinforcement learning. Moreover, this paper optimizes the reward mechanism of the algorithm by using multi-step TD-error, which solves the probable dilemma during training. Experiments verify that our proposed method has stable performance in both static and dynamic obstacle environments, and is superior to other reinforcement learning algorithms. It is a stable and efficient path planning method and has visible application potential in agricultural robots.",ar,2022-06-01,Sensors,agricultural robot | intelligent control | Internet of Things | obstacle avoidance | path planning | reinforcement learning,2-s2.0-85131297015,,35746099,Article,Yang J.,60030922;60019533,Shihezi University;Tianjin University,Shihezi;Tianjin,China;China,5,"Yang, Jiachen;Ni, Jingfei;Li, Yang;Wen, Jiabao;Chen, Desheng",25959803600;57726983700;57214958963;57200415294;57726764500,60019533;60019533;60019533-60030922;60019533;60019533,June-2 2022,14248220,130124,,Journal,22,12,4316,,1,NSFC,61871283,National Natural Science Foundation of China,16,2022,https://doi.org/10.3390/s22124316
10.1007/s10514-022-10042-z,A hybrid inductive learning-based and deductive reasoning-based 3-D path planning method in complex environments,"Traditional path planning methods, such as sampling-based and iterative approaches, allow for optimal path’s computation in complex environments. Nonetheless, environment exploration is subject to rules which can be obtained by domain experts and could be used for improving the search. The present work aims at integrating inductive techniques that generate path candidates with deductive techniques that choose the preferred ones. In particular, an inductive learning model is trained with expert demonstrations and with rules translated into a reward function, while logic programming is used to choose the starting point according to some domain expert’s suggestions. We discuss, as use case, 3-D path planning for neurosurgical steerable needles. Results show that the proposed method computes optimal paths in terms of obstacle clearance and kinematic constraints compliance, and is able to outperform state-of-the-art approaches in terms of safety distance-from-obstacles respect, smoothness, and computational time.",ar,2022-06-01,Autonomous Robots,Answer set programming | Artificial intelligence | Machine learning | Path planning | Steerable needles | Surgical robotics,2-s2.0-85130448918,,,Article,Segato A.,60030318;60024876;60023256;60020261,Università degli Studi di Milano;Humanitas Research Hospital;Politecnico di Milano;Università della Calabria,Milan;Rozzano;Milan;Rende,Italy;Italy;Italy;Italy,6,"Segato, Alice;Calimeri, Francesco;Testa, Irene;Corbetta, Valentina;Riva, Marco;De Momi, Elena",57218375414;8685471300;57701890100;57211219384;57208478311;57203951877,60023256;60020261;60023256;60023256;60030318-60024876;60023256,June 2022,09295593,18016,15737527,Journal,46,5,,645-666,1,H2020,688279,Horizon 2020 Framework Programme,1,2022,https://doi.org/10.1007/s10514-022-10042-z
10.1145/3506706,Weaving Synchronous Reactions into the Fabric of SSA-form Compilers,"We investigate the programming of reactive systems combining closed-loop control with performance-intensive components such as Machine Learning (ML). Reactive control systems are often safety-critical and associated with real-time execution requirements, a domain of predilection for synchronous programming languages. Extending the high levels of assurance found in reactive control systems to computationally intensive code remains an open issue. We tackle it by unifying concepts and algorithms from synchronous languages with abstractions commonly found in general-purpose and ML compilers. This unification across embedded and high-performance computing enables a high degree of reuse of compiler abstractions and code. We first recall commonalities between dataflow synchronous languages and the static single assignment (SSA) form of general-purpose/ML compilers. We highlight the key mechanisms of synchronous languages that SSA does not cover-denotational concepts such as synchronizing computations with an external time base, cyclic and reactive I/O, as well as the operational notions of relaxing control flow dominance and the modeling of absent values. We discover that initialization-related static analyses and code generation aspects can be fully decoupled from other aspects of synchronous semantics such as memory management and causality analysis, the latter being covered by existing dominance-based algorithms of SSA-form compilers. We show how the SSA form can be seamlessly extended to enable all SSA-based transformations and optimizations on reactive programs with synchronous concurrency. We derive a compilation flow suitable for both high-performance and reactive aspects of a control application, by embedding the Lustre dataflow synchronous language into the SSA-based MLIR/LLVM compiler infrastructure. This allows the modeling of signal processing and deep neural network inference in the (closed) loop of feedback-directed control systems. With only minor efforts leveraging the MLIR infrastructure, the generated code matches or outperforms state-of-the-art synchronous language compilers on computationally intensive ML applications.",ar,2022-06-01,ACM Transactions on Architecture and Code Optimization,lustre | machine learning (ML) | MLIR | reactive programming | SSA,2-s2.0-85127744390,,,Article,Pompougnac H.,60111167;60013373,"Google LLC, Europe;INRIA Institut National de Recherche en Informatique et en Automatique",Dublin;Le Chesnay,Ireland;France,4,"Pompougnac, Hugo;Beaugnon, Ulysse;Cohen, Albert;Butucaru, Dumitru Potop",57565490100;56313507100;57207237960;57566671900,60013373;60111167;60111167;60013373,June 2022,15443566,12100154406,15443973,Journal,19,2,22,,1,,undefined,,0,2022,https://doi.org/10.1145/3506706
10.1109/MRA.2021.3138382,The Franka Emika Robot: A Reference Platform for Robotics Research and Education,"The importance of robots for industry, research, education, and society as a whole is steadily increasing as reflected by the number of available systems and installed robots, not only in industry but also in the public sector and households. Software-only robotics researchers usually rely on commercially available robots which, in the case of manipulators, are primarily designed for industrial purposes and are often far from their needs. This article is a hands-on tutorial on the Franka Emika robot, the first series of industrial artificial intelligence (AI)-ready tactile robot platforms. Beyond industrial use, the systems can be seamlessly expanded to fulfill the demands of research and education across all robotics and AI disciplines. To satisfy the needs of such a wide variety of fields, it provides three different interfaces: Desk, a high-level app-based user interface for easy and fast task programming; Robot Integrated Development Environment (RIDE), a command-based programming environment used to create high-performance robot skills that enables programming custom apps and integrating external sensors; and the Franka control interface (FCI), a 1-kHz low-level torque and position control interface that exploits the also-Available Langrangian dynamics robot model. We take a close look at implementations with all interfaces, ranging from simple solutions, apps, and controllers to robot-learning examples illustrating how to exploit all the advantages of this platform in ongoing robotics research and education.",ar,2022-06-01,IEEE Robotics and Automation Magazine,,2-s2.0-85125327947,,,Article,Haddadin S.,60019722;122290420,Technische Universität München;Franka Emika GmbH,Munich;Munich,Germany;Germany,10,"Haddadin, Sami;Parusel, Sven;Johannsmeier, Lars;Golz, Saskia;Gabl, Simon;Walch, Florian;Sabaghian, Mohamadreza;Jahne, Christoph;Hausperger, Lukas;Haddadin, Simon",23008499000;36918926000;57201549476;56743086400;57468696800;57468236000;57224190819;57193095636;57469000500;55511455100,60019722;122290420;60019722;122290420;122290420;122290420;122290420;122290420;122290420;122290420,1 June 2022,10709932,18027,1558223X,Journal,29,2,,46-64,0,,undefined,,21,2022,https://doi.org/10.1109/MRA.2021.3138382
10.1007/s12369-021-00849-8,Is a Wizard-of-Oz Required for Robot-Led Conversation Practice in a Second Language?,"The large majority of previous work on human-robot conversations in a second language has been performed with a human wizard-of-Oz. The reasons are that automatic speech recognition of non-native conversational speech is considered to be unreliable and that the dialogue management task of selecting robot utterances that are adequate at a given turn is complex in social conversations. This study therefore investigates if robot-led conversation practice in a second language with pairs of adult learners could potentially be managed by an autonomous robot. We first investigate how correct and understandable transcriptions of second language learner utterances are when made by a state-of-the-art speech recogniser. We find both a relatively high word error rate (41%) and that a substantial share (42%) of the utterances are judged to be incomprehensible or only partially understandable by a human reader. We then evaluate how adequate the robot utterance selection is, when performed manually based on the speech recognition transcriptions or autonomously using (a) predefined sequences of robot utterances, (b) a general state-of-the-art language model that selects utterances based on learner input or the preceding robot utterance, or (c) a custom-made statistical method that is trained on observations of the wizard’s choices in previous conversations. It is shown that adequate or at least acceptable robot utterances are selected by the human wizard in most cases (96%), even though the ASR transcriptions have a high word error rate. Further, the custom-made statistical method performs as well as manual selection of robot utterances based on ASR transcriptions. It was also found that the interaction strategy that the robot employed, which differed regarding how much the robot maintained the initiative in the conversation and if the focus of the conversation was on the robot or the learners, had marginal effects on the word error rate and understandability of the transcriptions but larger effects on the adequateness of the utterance selection. Autonomous robot-led conversations may hence work better with some robot interaction strategies.",ar,2022-06-01,International Journal of Social Robotics,Conversational practice | Dialogue management for spoken human-robot interaction | Non-native speech recognition | Robot-assisted language learning,2-s2.0-85122404446,,,Article,Engwall O.,60019656;60002014,Heriot-Watt University;The Royal Institute of Technology (KTH),Edinburgh;Stockholm,United Kingdom;Sweden,3,"Engwall, Olov;Lopes, José;Cumbal, Ronald",6506726055;55944443800;57216333110,60002014;60019656;60002014,June 2022,18754791,19500157063,18754805,Journal,14,4,,1067-1085,1,VR,MAW 2020.0052,Vetenskapsrådet,5,2022,https://doi.org/10.1007/s12369-021-00849-8
10.1109/TBME.2021.3133075,Inverse Reinforcement Learning Intra-Operative Path Planning for Steerable Needle,"Objective: This paper presentsa safe and effective keyhole neurosurgery intra-operative planning framework for flexible neurosurgical robots. The framework is intended to support neurosurgeons during the intra-operative procedure to react to a dynamic environment. Methods: The proposed system integrates inverse reinforcement learning path planning algorithm combined with 1) a pre-operative path planning framework for fast and intuitive user interaction, 2) a realistic, time-bounded simulator based on Position-based Dynamics (PBD) simulation that mocks brain deformations due to catheter insertion and 3) a simulated robotic system. Results: Simulation results performed on a human brain dataset show that the inverse reinforcement learning intra-operative planning method can guide a steerable needle with bounded curvature to a predefined target pose with an average targeting error of 1.34 pm 0.52 (25{th} = 1.02, 75{th} = 1.36) mm in position and 3.16 pm 1.06 (25{th} = 2, 75{th} = 4.94) degrees in orientation under a deformable simulated environment, with a re-planning time of 0.02 sec and a success rate of 100%. Conclusion: With this work, we demonstrate that the presented intra-operative steerable needle path planner is able to avoid anatomical obstacles while optimising surgical criteria. Significance: The results demonstrate that the proposed method is fast and can securely steer flexible needles with high accuracy and robustness.",ar,2022-06-01,IEEE Transactions on Biomedical Engineering,Deep reinforcement learning | keyhole neurosurgery | soft tissue deformation | steerable needle | surgical planning,2-s2.0-85121365658,,34882540,Article,Segato A.,60023256;60015150,Politecnico di Milano;Imperial College London,Milan;London,Italy;United Kingdom,6,"Segato, Alice;Marzo, Marco Di;Zucchelli, Sara;Galvan, Stefano;Secoli, Riccardo;De Momi, Elena",57218375414;57225213516;57225211028;57191267621;34875826400;57203951877,60023256;60023256;60023256;60015150;60015150;60015150,1 June 2022,00189294,16318,15582531,Journal,69,6,,1995-2005,0,H2020,688279,Horizon 2020 Framework Programme,7,2022,https://doi.org/10.1109/TBME.2021.3133075
10.1002/rob.22052,Highly optimized Q-learning-based bees approach for mobile robot path planning in static and dynamic environments,This paper proposes a new novel approach to find an optimal path for a mobile robot in a two-dimensional environment. Finding the optimal path is done using the Bees Algorithm (BA) with the Q-Learning Algorithm. A new method to build the initial population is proposed to find the initial population regardless of the number and location of obstacles in the environment. Q-Learning is implemented as a local search function of the BA. The hybridization of the BA and the Q-Learning aims to find the optimal path with a fewer number of iterations of the BA. This method takes advantage of the BA to solve the problem without constraints and the sterilization in the Q-Learning to find the shortest path. The experiment is run on some different maps to validate the proposed method in the static and dynamic case. The experimental results show the robustness and effectiveness of the proposed method in finding the optimal path. The comparison is executed to view the superiority of this method in finding the shortest path in the comparison of the results of other algorithms.,ar,2022-06-01,Journal of Field Robotics,Dynamic obstacle avoidance | machine learning | Optimization | path plannin of mobile robot,2-s2.0-85120943256,,,Article,Bonny T.,60070813,University of Sharjah,Sharjah,United Arab Emirates,2,"Bonny, Talal;Kashkash, Mariam",15060068900;57200450345,60070813;60070813,June 2022,15564959,4700152301,15564967,Journal,39,4,,317-334,0,,undefined,,9,2022,https://doi.org/10.1002/rob.22052
10.1109/TRO.2021.3109414,LAMP: Learning a Motion Policy to Repeatedly Navigate in an Uncertain Environment,"Mobile robots are often tasked with repeatedly navigating through an environment whose traversability changes over time. These changes may exhibit some hidden structure, which can be learned. Many studies consider reactive algorithms for online planning, however, these algorithms do not take advantage of the past executions of the navigation task for future tasks. In this article, we formalize the problem of minimizing the total expected cost to perform multiple start-To-goal navigation tasks on a roadmap by introducing the learned reactive planning problem. We propose a method that captures information from past executions to learn a motion policy to handle obstacles that the robot has seen before. We propose the LAMP framework, which integrates the generated motion policy with an existing navigation stack. Finally, an extensive set of experiments in simulated and real-world environments show that the proposed method outperforms the state-of-The-Art algorithms by 10% to 40% in terms of expected time to travel from start to goal. We also evaluate the robustness of the proposed method in the presence of localization and mapping errors on a real robot.",ar,2022-06-01,IEEE Transactions on Robotics,Active sensing | learning and adaptive systems | motion and path planning | reactive and sensor-based planning,2-s2.0-85115665181,,,Article,Tsang F.,60014171,University of Waterloo,Waterloo,Canada,5,"Tsang, Florence;Walker, Tristan;MacDonald, Ryan A.;Sadeghi, Armin;Smith, Stephen L.",57210795627;57221695985;57197842005;57212402979;55574212853,60014171;60014171;60014171;60014171;60014171,1 June 2022,15523098,95101,19410468,Journal,38,3,,1638-1652,0,,undefined,,1,2022,https://doi.org/10.1109/TRO.2021.3109414
10.1016/j.ijcci.2021.100396,Programming in early childhood education: A systematic review,"The current study aims to provide a systematic review of the literature about the teaching of programming in early-childhood education, and specifically for the age group of 3–8 years old. The review presents empirical investigations with young learners and reports on relevant frameworks and curriculum programs, effects of teaching approaches and educational tools on learning, and learning outcomes and pedagogical benefits of teaching programming. Based on the empirical studies reviewed in this study, programming can be introduced to young learners as a stand-alone subject matter or can be integrated in the regular kindergarten curriculum with other subject areas such as music, movement and dance, art, science, mathematics, and literacy. In addition, programming can be infused in literacy and storytelling activities as a developmentally appropriate delivery approach. The authors conclude that future research should devote time and effort in the development of educational curricula in which the teaching of programming is fully integrated, as well as teacher training programs so that teachers become competent to teach programming in early childhood education.",ar,2022-06-01,International Journal of Child-Computer Interaction,Computational thinking | Early-childhood education | Programming | Robotics,2-s2.0-85115603616,S2212868921000891,,Article,Macrides E.,60071343,University of Cyprus,Nicosia,Cyprus,3,"Macrides, Elena;Miliou, Ourania;Angeli, Charoula",57200291238;57220871925;7005219325,60071343;60071343;60071343,June 2022,22128689,21100228541,,Journal,32,,100396,,0,,undefined,,15,2022,https://doi.org/10.1016/j.ijcci.2021.100396
10.1016/j.ijcci.2021.100388,Exploring the development of mental rotation and computational skills in elementary students through educational robotics,"Interest in educational robotics has increased over the last decade. Through various approaches, robots are being used in the teaching and learning of different subjects at distinct education levels. The present study investigates the effects of an educational robotic intervention on the mental rotation and computational thinking assessment in a 3rd grade classroom. To this end, we carried out a quasi-experimental study involving 24 third-grade students. From an embodied approach, we have designed a two-hour intervention providing students with a physical environment to perform tangible programming on Bee-bot. The results revealed that this educational robotic proposal aimed at map-reading tasks leads to statistically significant gains in computational thinking. Moreover, students who followed the Bee-bot-based intervention achieved greater CT level compared to students following a traditional instruction approach, after controlling student's prior level. No conclusive results were found in relation to mental rotation.",ar,2022-06-01,International Journal of Child-Computer Interaction,Bee-bot | Computational thinking | Educational robotics | Elementary education | Mental rotation | Tangible user interface,2-s2.0-85114673783,S2212868921000854,,Article,Diago P.D.,60002644;60000823,Universitat de València;Universidad de Castilla-La Mancha,Valencia;Ciudad Real,Spain;Spain,3,"Diago, Pascual D.;González-Calero, José A.;Yáñez, Dionisio F.",36631666400;55255201500;54891906000,60002644;60000823;60002644,June 2022,22128689,21100228541,,Journal,32,,100388,,0,MINECO,MTM2017-83942-P,Ministerio de Economía y Competitividad,9,2022,https://doi.org/10.1016/j.ijcci.2021.100388
10.1109/TCDS.2021.3063273,Conditional Generative Adversarial Networks for Optimal Path Planning,"Path planning plays an important role in autonomous robot systems. Effective understanding of the surrounding environment and efficient generation of an optimal collision-free path are both critical parts for solving path-planning problems. Although conventional sampling-based algorithms, such as the rapidly exploring random tree (RRT) and its improved optimal version (RRT∗), have been widely used in path-planning problems because of their ability to find a feasible path in even complex environments, they fail to find an optimal path efficiently. To solve this problem and satisfy the two aforementioned requirements, we propose a novel learning-based path-planning algorithm which consists of a novel generative model based on the conditional generative adversarial networks (CGANs) and a modified RRT∗ algorithm (denoted by CGAN-RRT∗). Given the map information, our CGAN model can generate an efficient probability distribution of feasible paths, which can be utilized by the CGAN-RRT∗ algorithm to find an optimal path with a nonuniform sampling strategy. The CGAN model is trained by learning from ground-truth maps, each of which is generated by putting all the results of executing the RRT algorithm 50 times on one raw map. We demonstrate the efficient performance of this CGAN model by testing it on two groups of maps and comparing the CGAN-RRT∗ algorithm with the Informed-RRT∗ algorithm and conventional RRT∗ algorithm.",ar,2022-06-01,IEEE Transactions on Cognitive and Developmental Systems,Conditional generative adversarial networks (CGANs) | optimal path planning | sampling-based path planning,2-s2.0-85102259324,,,Article,Ma N.,60108865;60105683;60002798,"The Chinese University of Hong Kong, Shenzhen;Southern University of Science and Technology;Chinese University of Hong Kong",Shenzhen;Shenzhen;Hong Kong,China;China;Hong Kong,4,"Ma, Nachuan;Wang, Jiankun;Liu, Jianbang;Meng, Max Q.H.",57214754979;57200020647;57214762710;7102739136,60105683;60105683;60002798;60002798-60108865,1 June 2022,23798920,21100784665,23798939,Journal,14,2,,662-671,0,,undefined,,6,2022,https://doi.org/10.1109/TCDS.2021.3063273
