:INCLUDE?,:doi,:title,:description,:subtype,:coverDate,:publicationName,:authkeywords,:eid,:pii,:pubmed_id,:subtypeDescription,:creator,:afid,:affilname,:affiliation_city,:affiliation_country,:author_count,:author_names,:author_ids,:author_afids,:coverDisplayDate,:issn,:source_id,:eIssn,:aggregationType,:volume,:issueIdentifier,:article_number,:pageRange,:openaccess,:fund_acr,:fund_no,:fund_sponsor,:citedby_count,:YEAR,:URL,:FULL_ARTICLE,:NOTES,:HERRAMIENTAS,:EDADES_OBJETIVO,:PORTABILIDAD_HW,:TIPO_PAPER,:CUSTOM_TOOL?,:TIPO_DE_LENGUAJE,:CONCURRENCY?,:LIVENESS?,:DEBUGGING?,:MONITORING?,:AUTONOMY?
SI,10.1007/s10798-015-9304-5,Robotics in the early childhood classroom: learning outcomes from an 8-week robotics curriculum in pre-kindergarten through second grade,"In recent years there has been an increasing focus on the missing “T” of technology and “E” of engineering in early childhood STEM (science, technology, engineering, mathematics) curricula. Robotics offers a playful and tangible way for children to engage with both T and E concepts during their foundational early childhood years. This study looks at N = 60 children in pre-kindergarten through second grade who completed an 8-week robotics curriculum in their classrooms using the KIWI robotics kit combined with a tangible programming language. Children were assessed on their knowledge of foundational robotics and programming concepts upon completion of the curriculum. Results show that beginning in pre-kindergarten, children were able to master basic robotics and programming skills, while the older children were able to master increasingly complex concepts using the same robotics kit in the same amount of time. Implications for developmentally appropriate design of technology, as well as structure and pace of robotics curricula for young children are addressed.",ar,2016-02-01,International Journal of Technology and Design Education,Early childhood | Education | Engineering | Programming | Robotics,2-s2.0-84954383441,,,Article,Sullivan A.,60023143,Tufts University,Medford,United States,2,"Sullivan, Amanda;Bers, Marina Umaschi",55214724100;57203655429,60023143;60023143,1 February 2016,9577572,21389,15731804,Journal,26,1,,3-20,0,,undefined,,139,2016,https://link.springer.com/article/10.1007%2Fs10798-015-9304-5,https://drive.google.com/file/d/1SAeRKfeqXi-3wKv1_phh8XJZSEcuy59d/view?usp=sharing,"Programación tangible, no sé si más...",CHERP,"A sample of N = 60 children in pre-kindergarten through 2nd grade participated in this
research (N = 15 pre-kindergarteners, N = 18 kindergarteners, N = 16 first graders,
N = 11 second graders)",Kiwi,Experimento con alumnos,No,"Tangible (aunque CHERP es híbrido, acá usaron sólo los bloques tangibles)",,,,,
SI,10.1155/2016/1714350,A Mobile Application That Allows Children in the Early Childhood to Program Robots,"Children born in the Information Age are digital natives; this characteristic should be exploited to improve the learning process through the use of technology. This paper addresses the design, construction, and evaluation process of TITIBOTS, a programming assistance tool for mobile devices that allows children in the early childhood to create programs and execute them using robots. We present the results of using TITIBOTS in different scenarios with children between 4 and 6 years old. The insight obtained in the development and evaluation of the tool could be useful when creating applications for children in the early childhood. The results were promising; children liked the application and were willing to continue using it to program robots to solve specific tasks, developing the skills of the 21st century.",ar,2016-01-01,Mobile Information Systems,,2-s2.0-85006136272,,,Article,Ramírez-Benavides K.,60071929,Universidad de Costa Rica,San Jose,Costa Rica,3,"Ramírez-Benavides, Kryscia;López, Gustavo;Guerrero, Luis A.",56943477500;56029419400;7006029401,60071929;60071929;60071929,2016,1574017X,19700174653,1875905X,Journal,2016,,1714350,,1,,undefined,,8,2016,https://www.hindawi.com/journals/misy/2016/1714350/,https://drive.google.com/file/d/18m2wn-nv6nX68ncsdXrSCX5-WPFtUUjt/view?usp=sharing,Desarrollaron un entorno de programación visual para Android y lo probaron con pibes.,TITIBOTS (a programming assistance tool for mobile devices that allows children in the early childhood to create programs and execute them using robots),entre 4 y 6 años,Lego NXT,Presenta la herramienta y describe una experiencia con alumnos,Sí,Visual (icon-based),No,No,No,No,"No.
Por lo que leí, el entorno manda los comandos via bluetooth y el programa en el robot los ejecuta"
SI,10.20965/jrm.2017.p0980,Development of a programming teaching-aid robot with intuitive motion instruction set,"A robot that consists of a compact disc (CD) and an embedded microcomputer has been developed as a robotics learning tool for elementary and junior high school students. The students can program the robot to draw a variety of shapes by placing a pen in the center hole of the CD. As the movement track of the robot can be recorded, the students can preserve their devised program execution results. In addition, intuitive instructions can be used to control the robot. This allows to input the program by operating several push-button switches. The program instructions can be viewed on the robot’s 8 LEDs-display interface. This robot is a unique teaching tool, which can be used to learn the mechanism of the robot composed of sensors, actuators, and a computer, without using a personal computer.",ar,2017-12-01,Journal of Robotics and Mechatronics,Computer education | Machine language | Measurement and control | Programming education | Teaching-aid robot,2-s2.0-85038836328,,,Article,Noguchi T.,60194542;60014729,"National Institute of Technology, Kushiro College;Muroran Institute of Technology",Kushiro;Muroran,Japan;Japan,4,"Noguchi, Takafumi;Kajiwara, Hidekazu;Chida, Kazunori;Inamori, Sakae",57203331650;36011713700;57206546752;57200033824,60194542;60014729;60194542;60194542,December 2017,9153942,21100197345,18838049,Journal,29,6,,980-991,0,,undefined,,4,2017,https://www.fujipress.jp/jrm/rb/robot002900060980/,https://drive.google.com/file/d/1DKLUoNJyJ5tycCD4qwwKyl2QeXM-vjuI/view?usp=sharing,"Revisar qué herramienta de programación proponen.
No sé qué significa ""intuitive motion instruction set""

Ah por lo visto la programación es como con Bee-bot, con botones en el robot mismo. A diferencia de bee-bot este parece mucho más complejo, tenés como una serie de leds que te indican la instrucción a cargar en la memoria del robot:
""Program input and execution can be performed by operating the two slide switches and five push-button switches on the computer board: the two slide switches are located at the lower right side of the computer board (at the robot’s back side) and the two push-button switches 1 and 2 are set at the back of the two slide switches, as shown in Fig. 2.""

Me copa el diseño del robot usando un cd y una placa circular. El agujero que deja el cd es útil para meter un sharpie.",No tiene herramienta de programación (es una programación estilo bee-bot),"""elementary school students""
""elemen- tary schools, junior high schools, engineering institutions for higher education, and for training new employees""",Es un robot personalizado (con un PIC18F2523),"Describen la implementación del robot.
Describen también algunas experiencias con alumnos de diferentes edades",Sí,estilo Bee-bot,No,No,No,No,Sí
SI,10.1166/asl.2017.10252,Early childhood educational robotic system (C-Block): A design methodology,"Critical thinking is important in developing creative and innovative minds. Project-based learning (PBL) curriculum is introduced for students to allow active participation which involves scientific inquiry and application of mathematics in the context of technological designing or problem-solving. Programmable Tangible Blocks Robotic System for Early Childhood Education (C-Block) is proposed as a tool for children aged 4 to 7 to engage in PBL activity. C-Block is a kit which comprises of instruction blocks, programming mat and a mobile robot. This paper is aimed to describe the design methodology of the C-Block kits. The first prototype of the programming mat was fabricated and the results is discussed.",ar,2017-11-01,Advanced Science Letters,Block programming | C-Block | Early childhood | Educational robotic system,2-s2.0-85040860192,,,Article,Mariappan M.,60017880,Universiti Malaysia Sabah,Kota Kinabalu,Malaysia,4,"Mariappan, Muralindran;Sing, Jong Chia;Nadarajan, Manimehala;Wee, Choo Chee",35810741900;57150708500;56035545400;36019507900,60017880;60017880;60017880;60017880,November 2017,19366612,19700181106,19367317,Journal,23,11,,11206-11210,0,UMS,undefined,Universiti Malaysia Sabah,0,2017,https://www.ingentaconnect.com/content/asp/asl/2017/00000023/00000011/art00169;jsessionid=758i968aju3dj.x-ic-live-03,https://drive.google.com/file/d/1ADG6xpfR1CbSBzXM4ITpWRNKxj782n7B/view?usp=share_link,"Describen el diseño e implementación de un set de programación tangible compuesto por una serie de bloques (instrucciones), un controlador principal, y un robot.",C-Block,"""above 3 years old""
""early childhood""
No aclaran un rango preciso pero siendo una interfaz de programación tangible, se puede suponer que es para chicos chicos (aunque algunos de los bloques avanzados se me hacen medio complicados para un pibe de 3 años)",El robot de C-Block (no dicen qué características tiene excepto que es un robot móbil),Presentación y propuesta de entorno de programación tangible (C-Block),Sí,Tangible,"No, pero no aclara","No, pero no aclara","No, pero no aclara","No, pero no aclara",Sí
SI,10.1109/TLT.2016.2627565,Web environment for programming and control of a mobile robot in a remote laboratory,"Remote robotics laboratories have been successfully used for engineering education. However, few of them use mobile robots to to teach computer science. This article describes a mobile robot Control and Programming Environment (CPE) and its pedagogical applications. The system comprises a remote laboratory for robotics, an online programming tool, and a virtual learning environment. It allows experiments with a mobile robot to be carried out, tested and validated remotely, using a simple graphic interface via web browser, without additional software installation on the user's computer. Students can control and manipulate the robot with simple commands without worrying about hardware details or use C/C)) programming language to develop complex programs. The robot has been built with inexpensive components and has sensors that enable its use in several experiments. CPE can be used in contextualized teaching in various subjects of computer science, both in class and at distance. A practical application of the whole system using CPE, introducing programming concepts, is also described in this paper. The initial assessment of the environment as an educational tool shows high levels of interest among our students, an improvement in their academic scores, and potential for application in the context of computing education, when properly introduced as a learning tool.",ar,2017-10-01,IEEE Transactions on Learning Technologies,Bistance learning | Computing education | Mobile robots | Online programming | Remote laboratories,2-s2.0-85044304242,,,Article,Dos Santos Lopes M.S.,60013710;112612440,Universidade Federal da Bahia;State University of Southwest Bahia (UESB),Salvador;Salvador,Brazil;Brazil,5,"Dos Santos Lopes, Maísa Soares;Gomes, Iago Pacheco;Trindade, Roque M.P.;Da Silva, Alzira F.;Lima, Antonio C.De C.",57201312434;57201314844;36807201600;57213535474;24328775100,112612440;112612440;112612440;112612440;60013710,October-December 2017,19391382,19700167026,,Journal,10,4,,526-531,0,,undefined,,16,2017,https://ieeexplore.ieee.org/document/7740908,https://drive.google.com/file/d/1XEU3rppIbY94k6B7is5Z7wnvI_0alJ5_/view?usp=sharing,Describe un laboratorio remoto de robótica educativa? Parece interesante para el futuro de mendieta,Arduino C,"""The students’ age ranged from 17 to 24 years""","Arduino 
""An Arduino Mega 2560 microcontroller is responsible for the control of the robot.""","Presentación de entorno de programación y control de un laboratorio remoto.
Experiencia con alumnos en un workshop.",Sí (armaron un entorno pero la programación se hace con el lenguaje de Arduino y se basa en el Arduino IDE),Textual,,,,,
SI,10.1016/j.compedu.2017.03.001,Assessing elementary students’ computational thinking in everyday reasoning and robotics programming,"Based on a framework of computational thinking (CT) adapted from Computer Science Teacher Association's standards, an instrument was developed to assess fifth grade students' CT. The items were contextualized in two types of CT application (coding in robotics and reasoning of everyday events). The instrument was administered as a pre and post measure in an elementary school where a new humanoid robotics curriculum was adopted by their fifth grade. Results show that the instrument has good psychometric properties and has the potential to reveal student learning challenges and growth in terms of CT.",ar,2017-06-01,Computers and Education,Computational thinking | Evaluation methodologies | Programming and programming languages | Robotics education,2-s2.0-85014423231,S0360131517300490,,Article,Chen G.,60029251;60025488;60014966,University of Miami;The University of Utah;Peking University,Coral Gables;Salt Lake City;Beijing,United States;United States;China,6,"Chen, Guanhua;Shen, Ji;Barth-Cohen, Lauren;Jiang, Shiyan;Huang, Xiaoting;Eltoukhy, Moataz",57226068797;55903576800;36994439400;57191191820;55787259400;50461249000,60029251;60029251;60025488;60029251;60014966;60029251,1 June 2017,3601315,17645,,Journal,109,,,162-175,1,,undefined,,141,2017,https://www.sciencedirect.com/science/article/abs/pii/S0360131517300490?via%3Dihub,https://drive.google.com/file/d/1RFnD3hF1Dta9wD94ZabJCl6keFPj6tK-/view?usp=sharing,"Describen una experiencia con alumnos usando un robot humanoide. Eran muchos pibes y 1 sólo robot, por lo que tenían que ir turnándose para testear los programas. Ah, y la programación era visual durante las actividades del curso pero en el pre-test los separaron random en 2 grupos y a un grupo le dieron preguntas con una sintaxis visual y al otro textual (creo que entendí eso)

""During the session, each student worked on his or her own laptop using the visual programming platform. And due to the cost, only one physical robot was used. Thus, students had to write the program and test it on a virtual robot first, and then take turns to run their tested programs on the physical robot. Except for the initial and final sessions, our curriculum was organized around specific topics that are common to humanoid robotics, such as basic actions (say words, waving hands, sit down, etc.), voice recognition, tactile sensors, walking motion, and animation. Furthermore, several key computer science concepts were introduced along the way, such as algorithms, variables, conditionals, loops, serial execution, and multitasking.""

No me queda muy claro el paper, como que se concentra en los pre/post test pero no describen mucho la actividad en sí.

Claro, en realidad el paper NO es sobre la experiencia en sí sino sobre el instrumento para hacer la medición del ""computational thinking"" bla bla bla",El lenguaje del NAO (no lo conozco),Fifth grade students,NAO by Aldebaran robotics,Experimento con alumnos,No,Visual (nodos?),Sí,,,,
SI,10.1016/j.chb.2017.01.018,Educational Robotics intervention on Executive Functions in preschool children: A pilot study,"Educational Robotics (ER) is known for its effects on academic achievement and scientific concepts. Few studies have demonstrated ER effects on cognitive skills and no evidence exists on the role of ER in promoting Executive Functions, key elements in early school readiness and cognitive milestone achievements. The aim of this study was to evaluate, for the first time, the short-term effects in Preschool children of an intensive ER training on Executive Functions. A sample of 12 children (age range: 5–6 years) took part to an intensive ER-Lab for 13 sessions (6 weeks) by using a bee-shaped robot, called Bee-Bot®. The children were tested three times (baseline, pre and post ER-Lab) with a neuropsychological battery. The main finding was a significant improvement in both visuo-spatial working memory and inhibition skills after the ER-Lab period, with a significant effect also on robot programming skills. These data provide scientific support to the hypothesis that ER is suitable in progressively improving abilities in planning and controlling complex tasks in early childhood, fostering executive functions development.",ar,2017-06-01,Computers in Human Behavior,Education | Educational Robotics | Evaluation methodologies | Interactive learning environments,2-s2.0-85010886903,S0747563217300195,,Article,Di Lieto M.,60083545;60028868;60028039,IRCCS Fondazione Stella Maris;Università di Pisa;Sant'Anna Scuola Universitaria Superiore Pisa,San Miniato;Pisa;Pisa,Italy;Italy;Italy,11,"Di Lieto, Maria Chiara;Inguaggiato, Emanuela;Castro, Emanuela;Cecchi, Francesca;Cioni, Giovanni;Dell'Omo, Marta;Laschi, Cecilia;Pecini, Chiara;Santerini, Giacomo;Sgandurra, Giuseppina;Dario, Paolo",57076709800;56033320900;57193112531;26422839700;7005561897;57193114105;6603776567;7801368517;57193110974;16025762200;36040468400,60083545;60028039;60028039;60028039;60083545-60028868;60028868;60028039;60083545;60028039;60083545;60028039,1 June 2017,7475632,19419,,Journal,71,,,16-23,0,,undefined,,68,2017,https://www.sciencedirect.com/science/article/abs/pii/S0747563217300195?via%3Dihub,https://drive.google.com/file/d/10mCgN6HATqXhLpL5HqU_tcMLx9fSxQlp/view?usp=sharing,"Revisar si en algún momento programan el robot y con qué herramienta

Sí, el robot es BeeBot, que se programa mediante la grabación de instrucciones en su memoria que luego se ejecutan cuando apretás el botón de GO. Es un poco limitado y casi casi que no califica como programacion de verdad porque lo único que podés hacer es apretar los botones para cargar las acciones que querés que haga el robot y listo. No creo que tengas sensores o instrucciones más complejas como flujo de control o subrutinas. No sé si incluirlo...

Entra porque a fin de cuentas lo están programando (y además ya lo incluí en otros papers). Capaz cuando haga el análisis tenga que señalar las limitaciones de bee-bot y hasta capaz ponerlo en una categoría aparte (¿porque no sería programación tangible, o sí?)","Bee-Bot (no tiene lenguaje de programación, el robot registra comandos y los repite)",Entre 5 y 6,Bee-bot,Experiencia con alumnos,No,Bee-bot,No,No,No,No,Sí
SI,10.1109/RITA.2017.2697739,Introduction to Robotics: Importance of a Summer Camp as a Recruiting Tool for Future University Students,"This paper describes a robotics summer camp that was held at the University of Puerto Rico at Aguadilla Campus (UPR-Aguadilla) during the summer of 2015. This camp gave high school students the opportunity to collaborate with their peers, in a university setting, in the building and programing of robots. The main contribution of this paper is the evaluation of the camp's influence on student enrollment at the UPR-Aguadilla. The impact was evaluated by using pre- and post-test surveys that included content and interest questions. In addition, the pre- and the post-test surveys included questions on whether or not the camp influenced student enrollment at the UPR-Aguadilla. The camp survey results suggest that attendance to the camp had a significant effect on the enrollment of participating students at the UPR-Aguadilla.",ar,2017-05-01,Revista Iberoamericana de Tecnologias del Aprendizaje,algorithms | computing education | robotics education | STEM | student recruitment | summer camp,2-s2.0-85028763348,,,Article,Balaguer Alvarez I.J.,60197280,Universidad de Puerto Rico en Aguadilla,Aguadilla,Puerto Rico,1,"Balaguer Alvarez, Irvin J.",26421994100,60197280,May 2017,,19700201532,19328540,Journal,12,2,7913578,71-75,0,UPR,undefined,Universidad de Puerto Rico,10,2017,https://ieeexplore.ieee.org/document/7913578,https://drive.google.com/file/d/1AdfZE6O2KAl9FB8NvEUbnT9Yhhc7QQLV/view?usp=sharing,"Describe un summer camp para high-school students donde construyen y programan robots.

El artículo casi no menciona la programación","Lego NXT-G (supongo, porque no lo mencionan explícitamente)",entre 15 y 17,Lego NXT,Experiencia con alumnos,No,,,,,,
SI,10.1145/3025013,Teaching programming in secondary education through embodied computing platforms: Robotics and wearables,"Pedagogy has emphasized that physical representations and tangible interactive objects benefit learning especially for young students. There are many tangible hardware platforms for introducing computer programming to children, but there is limited comparative evaluation of them in the context of a formal classroom. In this work, we explore the benefits of learning to code for tangible computers, such as robots and wearable computers, in comparison to programming for the desktop computer. For this purpose, 36 students participated in a within-groups study that involved three types of target computer platform tangibility: (1) desktop, (2) wearable, and (3) robotic. We employed similar blocks-based visual programming environments, and we measured emotional engagement, attitudes, and computer programming performance. We found that students were more engaged by and had a higher intention of learning programming with the robotic rather than the desktop computer. Furthermore, tangible computing platforms, either robot or wearable, did not affect the students' performance in learning basic computational concepts (e.g., sequence, repeat, and decision). Our findings suggest that computer programming should be introduced through multiple target platforms (e.g., robots, smartphones, wearables) to engage children.",ar,2017-05-01,ACM Transactions on Computing Education,Children | Embodiment | Experiment | Learning | Robot | Ubiquitous computing | Wearable,2-s2.0-85027054261,,,Article,Merkouris A.,60067711;60013925,Hellenic Open University;Ionian Panepistimion,Patra;49100 Corfu,Greece;Greece,3,"Merkouris, Alexandros;Chorianopoulos, Konstantinos;Kameas, Achilles",57147763100;20336592900;6603112443,60013925;60067711;60067711,May 2017,,19700183047,19466226,Journal,17,2,9,,0,,undefined,,27,2017,https://dl.acm.org/doi/10.1145/3025013,https://drive.google.com/file/d/1dJDNbV3htUacCOAC3HBc9izttGSABTlk/view?usp=sharing,,"Enchanting (para controlar LEGO Mindstorms)
Modkit (para controlar Arduino LilyPad)",entre 12 y 13,"Lego Mindstorms NXT (con Enchanting)
Arduino LilyPad (con Modkit)",Experimento con alumnos,No,"Visual (bloques)
En el caso de Modkit también es textual, te permite ver el código generado y si querés pasar a modificarlo (no sé si después podés volver a los bloques)","Sí (ambos)


No lo mencionan en el paper","No

No lo mencionan en el paper","No

No lo mencionan en el paper","Sí (enchanting)
No (Modkit)

No lo mencionan en el paper","Sí (ambos)

No lo mencionan en el paper"
SI,10.1109/TE.2016.2622227,The effects of a robot game environment on computer programming education for elementary school students,"In the past, computer programming was perceived as a task only carried out by computer scientists; in the 21st century, however, computer programming is viewed as a critical and necessary skill that everyone should learn. In order to improve teaching of problem-solving abilities in a computing environment, extensive research is being done on teaching-learning methods, types of teaching software, the educational environment, and related tools. This paper, based on diverse experimental results, proposes an environment where elementary students can easily learn and practice computer programming. The proposed robot game environment used a tangible programming tool with which students can easily create robot programs, without learning syntax, and then validate their programming results; it can also provide various game activities to incite students' interest. Observation of elementary school students placed in the robot game environment confirmed the tool's usability and entertainment aspects, and students' attitudes toward programming and their understanding of programming concepts improved.",ar,2017-05-01,IEEE Transactions on Education,Computer engineering | elementary school | games | problem solving,2-s2.0-84995581966,,,Article,Shim J.,60005273,Korea University,Seoul,South Korea,3,"Shim, Jaekwoun;Kwon, Daiyoung;Lee, Wongyu",56118822900;15520920800;56164989400,60005273;60005273;60005273,May 2017,189359,17344,,Journal,60,2,7742384,164-172,0,,undefined,,24,2017,https://ieeexplore.ieee.org/document/7742384,https://drive.google.com/file/d/19HDvE_zw8ANb7XLKSCoWzmgOtn_zkpNO/view?usp=sharing,"No sé si proponen usar un robot físico o uno virtual, revisar...

Por lo visto sí proponen un robot físico pero con programación tangible.

Interesante para tener de ejemplo el experimento que hacen donde miden usabilidad, aprendizaje de conceptos de programación y otras cosas.
Acá lo interesante es cómo definen los cuestionarios para medir usabilidad, “edutainment”, “programming attitude”, and “understanding of programming concepts”. Usan también una medida de “reliability que capaz sea bueno entender: https://en.wikipedia.org/wiki/Cronbach%27s_alpha
No sé si servirá de mucho porque acá tenían bastantes alumnos (bah, relativamente hablando: 47) de distintas edades pero también es interesante el punto de “understanding of programming concepts” porque hicieron una medición pre y post para comparar cuánto aprendieron con la experiencia.

Entra en programación tangible",Algorithmic Bricks (A-Bricks),entre 10 y 12,"No aclaran el tipo de robot, sólo dicen que usa 2 motores paso a paso y sensores infrarrojos",Experimento con alumnos,Desarrollo propio (este paper es de los mismos autores que el anterior sobre A-Bricks),Tangible,,,,,
SI,10.1145/3043950,Teaching physical computing in family workshops,"Family workshops in which children together with a parent learn basic physical computing concepts and programming have proven very successful in popularizing computing in Santa Catarina/Brazil. During the hands-on workshops, participants learn step-by-step how to ""give life"" to an interactive superhero robot through a simple, lowcost, platform-independent, reliable, and stable strategy integrating a microcontroller, a few hardware parts and block-based visual programming languages. The results of several of these family workshops in Santa Catarina indicate that the workshops enable the learning of basic computing concepts (specifically programming) besides providing additional benefits through the involvement of the families.",ar,2017-03-01,ACM Inroads,,2-s2.0-85014156989,,,Article,Von Wangenheim C.,60017609;109626449,Universidade Federal de Santa Catarina;Federal Institute of Santa Catarina (IFSC),Florianopolis;Florianopolis,Brazil;Brazil,5,"Von Wangenheim, Christiane Gresse;Von Wangenheim, Aldo;Pacheco, Fernando S.;Hauck, Jean C.R.;Ferreira, Miriam Nathalie F.",7801373211;6602002506;56405284900;14045055000;57193487871,60017609;60017609;109626449;60017609;60017609,March 2017,21532184,19700201136,21532192,Trade Journal,8,1,,48-51,0,,undefined,,2,2017,https://doi.org/10.1145/3043950,https://drive.google.com/file/d/1oDxpcSZJB5DSsK6gsSpbpBh6zjiCCeXH/view?usp=sharing,"Describe los resultados después de llevar a cabo workshops de robótica con chicos de entre 10 y 14 años acompañados por algún pariente adulto. Es interesante que la experiencia está diseñada para que cada chico esté acompañado por algún adulto de su flia.

""We created a simple, low-cost, platform-independent, reliable, and stable strategy integrating a microcontroller and block-based visual programming languages""

Desarrollaron un servidor para conectar Scratch/Snap! con Arduino usando firmata. Es un poco raro que no hayan usado Scratch4Arduino o Snap4Arduino, siendo que es un paper del 2017","Scratch 2
Snap!",entre 10 y 14 años,Arduino Nano,Experiencia con alumnos,"Sí, desarrollaron una herramienta llamada Scratchduino (a Scratch/Snap! to Arduino communication server).
""It is an easy to use, multiplatform GUI-based program that acts as a bidirectional protocol translator, providing interoperability between the Scratch/Snap! Extension Protocol and the traditional Firmata microcontroller protocol""",Visual (bloques),"Sí, pero no lo mencionan","Sí, pero no lo mencionan",No,"Sí, pero no lo mencionan",No
SI,10.1109/MRA.2016.2636372,Bringing Robotics to Formal Education: The Thymio Open-Source Hardware Robot,"Mobile robots are valuable tools for education because of both the enthusiasm they raise and the multidisciplinary nature of robotics technology. Mobile robots give access to a wide range of fields, such as complex mechanics, sensors, wireless transmission, mathematics, and computer science. However, despite their potential as educational tools, robots are still not as widespread in schools as they could be. In this article, we identify five key reasons: lack of diversity, high cost, noninclusive design, lack of educational material, and lack of stability over time. Then, we describe our answers to these problems, as we implemented them in the Thymio project: a mature mass-produced open-hardware robot, at a low price, with a multiage and gender-neutral feature set, and with a design promoting creativity, facilitating learning, and providing a wide range of interaction possibilities from built-in behaviors to text programming, passing through different visual programming environments. We highlight some neglected key issues that differentiate open-source hardware from open-source software, for instance the legal uncertainty of designing open hardware using professional computer-aided design (CAD) tools and the difficulty to distribute the development. Our solution to these being to increase the awareness of CAD editors to open-source hardware and to provide a two-layer development model for hardware.",ar,2017-03-01,IEEE Robotics and Automation Magazine,,2-s2.0-85013649120,,,Article,Mondada F.,60028186;60025858;119675527,Ecole Polytechnique Fédérale de Lausanne;ETH Zürich;Mobsya,"Lausanne;Zurich ZH,;",Switzerland;Switzerland;Switzerland,7,"Mondada, Francesco;Bonani, Michael;Riedo, Fanny;Briod, Manon;Pereyre, Lea;Retornaz, Philippe;Magnenat, Stephane",6603066571;6506907928;55307457100;57193409707;57193411904;34168303400;13005513200,60028186;119675527;119675527;60028186;60028186;60028186;60025858,March 2017,10709932,18027,,Journal,24,1,7859350,77-85,0,,undefined,,57,2017,https://ieeexplore.ieee.org/document/7859350,https://drive.google.com/file/d/19ThtbbqxYYtQL4sAd2j-vVTMTea7zIuB/view?usp=sharing,"Describe el diseño y la implementación del robot Thymio.

""At the software level, we provide a set of programming environments (see the “Programming Environment” section) that enable beginners to discover programming progressively. First, we teach them the basic rules of programming using a purely visual interface, then they discover the construction of syntax trees by assembling graphical blocks, and finally, we provide a full text-based coding environment with advanced debugging tools, such as real-time inspection of the variables of the robot and plotting features, providing a visual way to understand time-related concepts""

""On the robot side, it provides a lightweight virtual machine that runs on microcontrollers such as the PIC24F inside Thymio. A virtual machine allows instantaneous upload and safe execution of programs""

""Aseba provides an integrated development environment (IDE) featuring a visual programming language (VPL) (Figure 3); a scripting language (Figure 4); and a mixed language, Blockly (https://developers.google.com/blockly/), to assemble scripts graphically (Figure 5)","Aseba
Thymio VPL
Blockly","""accessible to girls and boys of different age groups from kindergarten to university""",Thymio,Descripción de un proyecto de robot de bajo costo con entorno de programación incluido,Sí?,"Textual y visual.
Aseba soporta programación textual y visual (con un lenguaje basado en íconos y otro que usa blockly)",,,Sí,Sí,Sí
SI,10.13187/ejced.2017.3.390,Innovative methods in teaching programming for future informatics teachers,"In the training of future informatics teachers the students obtain experience with different methods of programming. As well, the students become familiar with programming by using the robotic system Lego Mindstorms. However, the small number of Lego systems available is a limiting factor for the teaching process. Use of virtual robotic environments seems to be a suitable alternative for dealing with an insufficient quantity of hardware tools. The resulting programs are created and tested in the virtual laboratory and can be subsequently implemented into a real robot model. In such cases, teaching no longer depends on the available number of hardware kits and the form of teaching can be changed from group to individual. This paper describes our experiences with students' learning with the robotic system Lego Mindstorms, programming environments Bricx and virtual educational environment ROBOTC. One approach to making teaching programming language attractive is the use of robotic kits and virtual environments in the classroom",ar,2017-01-01,European Journal of Contemporary Education,,2-s2.0-85029509710,,,Article,Majherová J.,,Katolícka univerzita v Ružomberku,Ruzomberok,Slovakia,,,,,2017,23049650,21100790713,23056746,Journal,6,3,,390-400,0,,,,7,2017,https://www.semanticscholar.org/paper/Innovative-Methods-in-Teaching-Programming-for-Majherov%C3%A1-Kr%C3%A1l%C3%ADk/591f4aca94bd191e3fd050e2c77267edc4722f95,https://drive.google.com/file/d/1ydbusUm0WLgM-68o-fBkwugyZKF1Q9xa/view?usp=share_link,"Describen experiencias con alumnos en las que usaron robots físicos y virtuales. Los robots físicos los programaron con NXT-G y NQC, los virtuales con NQC usando Brixcc","NXT-G
Bricx (NQC en realidad)
RobotC (sólo para los robots virtuales)","""bachelor degree""
Creo que apunta a futuros profesores?

18+",Lego NXT,Experiencia con alumnos,No,,,,,,
